Region,Product_ID,Sales_Amount,Quantity_Sold,Unit_Price,Discount,Profit_Margin,Sales_Date,Sales_Channel,Customer_Segment
West,P2208,729.7,16,91.35,0.28,0.25,2024-01-01,Online,Retail
Central,P5390,342.89,84,10.32,0.26,0.32,2024-01-02,Offline,Retail
East,P7018,930.67,29,5.26,0.08,0.43,2024-01-03,Offline,Corporate
East,P8949,260.09,61,35.1,0.01,0.12,2024-01-04,Offline,Retail
South,P2771,925.55,79,40.65,0.13,0.16,2024-01-05,Offline,Corporate
West,P5973,776.61,34,6.38,0.17,0.1,2024-01-06,Wholesale,Retail
North,P8433,712.64,77,37.03,0.08,0.18,2024-01-07,Online,Small Business
West,P3144,179.09,51,18.17,0.19,0.12,2024-01-08,Online,Retail
North,P2027,91.82,32,75.65,0.25,0.31,2024-01-09,Wholesale,Retail
Central,P4217,284.98,37,52.02,0.22,0.25,2024-01-10,Wholesale,Small Business
South,P5894,77.11,63,40.12,0.02,0.33,2024-01-11,Online,Corporate
South,P6050,73.57,75,71.8,0.15,0.49,2024-01-12,Online,Corporate
North,P9250,669.49,6,54.3,0.21,0.11,2024-01-13,Wholesale,Small Business
West,P6673,965.67,32,31.3,0.25,0.27,2024-01-14,Offline,Retail
East,P5674,218.42,89,55.3,0.23,0.37,2024-01-15,Offline,Retail
East,P1677,558.44,16,33.64,0.24,0.17,2024-01-16,Offline,Retail
East,P6660,473.75,70,82.45,0.08,0.08,2024-01-17,Offline,Retail
Central,P2236,836.68,57,61.88,0.3,0.29,2024-01-18,Online,Retail
Central,P2145,99.67,78,80.5,0.27,0.45,2024-01-19,Offline,Corporate
North,P1630,613.44,72,75.95,0.17,0.48,2024-01-20,Online,Small Business
North,P7778,672.14,16,24.75,0.25,0.4,2024-01-21,Wholesale,Retail
West,P6520,400.17,49,43.91,0.18,0.24,2024-01-22,Offline,Retail
Central,P8129,272.56,68,54.88,0.07,0.3,2024-01-23,Wholesale,Corporate
North,P8282,930.78,31,26.71,0.05,0.45,2024-01-24,Offline,Small Business
West,P1088,642.41,5,91.32,0.01,0.31,2024-01-25,Online,Small Business
South,P2453,187.63,4,72.05,0.15,0.07,2024-01-26,Offline,Small Business
Central,P6580,774.67,23,55.34,0.16,0.15,2024-01-27,Online,Retail
North,P7648,482.95,85,86.27,0.22,0.13,2024-01-28,Online,Retail
North,P4419,793.57,63,67.83,0.23,0.33,2024-01-29,Online,Retail
South,P5261,617.61,40,62.12,0.14,0.44,2024-01-30,Online,Corporate
South,P2634,461.22,84,10.58,0.3,0.36,2024-01-31,Online,Small Business
South,P4484,886.62,93,51.06,0.04,0.27,2024-02-01,Offline,Small Business
East,P7289,918.05,14,74.4,0.06,0.18,2024-02-02,Online,Corporate
Central,P6036,169.45,44,89.84,0.26,0.13,2024-02-03,Offline,Corporate
South,P7901,807.49,82,45.37,0.16,0.3,2024-02-04,Wholesale,Retail
North,P7223,693.61,79,48.15,0.03,0.45,2024-02-05,Offline,Small Business
